claim_id,worker_id,zone,claim_date,claim_hour,has_real_disruption,is_fraudster,is_fraud,gps_zone_mismatch,wifi_home_ssid,battery_charging,accelerometer_idle,platform_app_inactive,ip_home_match,claim_latency_under30s,gps_jitter_perfect,barometer_mismatch,hw_fingerprint_match,app_install_cluster,days_since_onboard,referral_depth,simultaneous_zone_claims,zone_depth_score,fps_score,fps_tier,iss_score,city
CLM0000001,CHE_00158,Porur,2024-01-10,16,0,0,0,0,0,0,0,0,0,0.0,0.198467,0,0.0,0,132,2,1,0.2051,0.0241,GREEN,27,Chennai
CLM0000002,CHE_00223,T Nagar,2018-03-16,14,0,0,0,0,0,1,0,0,0,0.0,0.284994,0,0.0,0,149,4,3,0.9704,0.0555,GREEN,27,Chennai
CLM0000003,CHE_05282,T Nagar,2025-12-26,10,0,0,0,0,0,0,1,0,0,0.0,0.242873,0,0.0,0,122,2,3,0.8698,0.0285,GREEN,32,Chennai
CLM0000004,CHE_01075,Perambur,2021-09-30,13,0,0,0,0,0,0,0,0,1,0.0,0.211131,0,0.0,0,169,3,5,0.9229,0.1547,GREEN,37,Chennai
CLM0000005,CHE_04502,Porur,2025-01-27,7,0,0,0,0,0,0,0,0,0,0.0,0.003074,0,0.0,0,38,0,0,0.7252,0.0209,GREEN,31,Chennai
CLM0000006,CHE_06479,T Nagar,2025-12-12,18,0,0,0,0,0,0,1,0,0,0.0,0.293322,0,0.0,0,312,1,3,0.98,0.0296,GREEN,35,Chennai
CLM0000007,CHE_06537,Guindy,2022-05-03,9,0,0,0,1,0,0,1,1,0,0.0,1.0,0,0.0,1,8,4,18,0.5788,0.0,GREEN,41,Chennai
CLM0000008,CHE_09607,Guindy,2023-10-04,20,0,0,0,0,0,0,0,0,0,0.0,0.034948,0,0.0,0,239,0,6,0.05,0.0,GREEN,39,Chennai
CLM0000009,CHE_01611,T Nagar,2018-08-05,9,0,0,0,0,1,1,0,0,0,1.0,0.903849,0,1.0,0,147,3,4,0.6194,0.2302,GREEN,56,Chennai
CLM0000010,CHE_07703,Porur,2019-09-11,17,0,0,0,0,0,0,0,0,0,0.0,0.303276,0,0.0,0,245,2,2,0.9505,0.0,GREEN,37,Chennai
CLM0000011,CHE_04432,Adyar,2025-03-19,20,0,0,0,0,0,0,0,0,0,0.0,0.191101,0,0.0,0,20,4,0,0.6871,0.0472,GREEN,49,Chennai
CLM0000012,CHE_09083,Anna Nagar,2022-09-03,15,0,0,0,0,0,0,0,1,0,0.0,0.06337,0,0.0,0,107,1,4,0.9133,0.0765,GREEN,53,Chennai
CLM0000013,CHE_00903,Chromepet,2021-12-09,9,0,0,0,0,1,0,0,0,0,0.0,0.472038,0,0.0,0,265,0,2,0.837,0.1563,GREEN,19,Chennai
CLM0000014,CHE_02280,Sholinganallur,2021-10-14,20,0,0,0,0,0,0,0,0,0,0.0,0.300324,0,0.0,0,273,0,0,0.3748,0.0,GREEN,32,Chennai
