ds,zone,y,rolling_7d,bandh_event,heavy_rain,extreme_rain
2014-01-01,Adyar,0.0,0.0,0,0,0
2014-01-02,Adyar,0.0,0.0,0,0,0
2014-01-03,Adyar,0.0,0.0,0,0,0
2014-01-04,Adyar,0.0,0.0,0,0,0
2014-01-05,Adyar,0.0,0.0,0,0,0
2014-01-06,Adyar,0.0,0.0,0,0,0
2014-01-07,Adyar,0.0,0.0,0,0,0
2014-01-08,Adyar,0.0,0.0,0,0,0
2014-01-09,Adyar,0.0,0.0,0,0,0
2014-01-10,Adyar,0.0,0.0,0,0,0
2014-01-11,Adyar,0.0,0.0,0,0,0
2014-01-12,Adyar,0.0,0.0,0,0,0
2014-01-13,Adyar,0.0,0.0,0,0,0
2014-01-14,Adyar,0.0,0.0,0,0,0
2014-01-15,Adyar,0.0,0.0,0,0,0
2014-01-16,Adyar,0.0,0.0,0,0,0
2014-01-17,Adyar,0.0,0.0,0,0,0
2014-01-18,Adyar,0.0,0.0,0,0,0
2014-01-19,Adyar,0.0,0.0,0,0,0
2014-01-20,Adyar,0.0,0.0,0,0,0
2014-01-21,Adyar,0.0,0.0,0,0,0
2014-01-22,Adyar,0.0,0.0,0,0,0
2014-01-23,Adyar,0.0,0.0,0,0,0
2014-01-24,Adyar,0.0,0.0,0,0,0
2014-01-25,Adyar,0.0,0.0,0,0,0
2014-01-26,Adyar,0.0,0.0,0,0,0
2014-01-27,Adyar,0.0,0.0,0,0,0
2014-01-28,Adyar,0.0,0.0,0,0,0
2014-01-29,Adyar,0.0,0.0,0,0,0
2014-01-30,Adyar,0.0,0.0,0,0,0
2014-01-31,Adyar,0.0,0.0,0,0,0
2014-02-01,Adyar,0.0,0.0,0,0,0
2014-02-02,Adyar,0.0,0.0,0,0,0
2014-02-03,Adyar,0.0,0.0,0,0,0
2014-02-04,Adyar,0.0,0.0,0,0,0
2014-02-05,Adyar,0.0,0.0,0,0,0
2014-02-06,Adyar,0.0,0.0,0,0,0
2014-02-07,Adyar,0.0,0.0,0,0,0
2014-02-08,Adyar,0.0,0.0,0,0,0
2014-02-09,Adyar,0.0,0.0,0,0,0
2014-02-10,Adyar,0.0,0.0,0,0,0
2014-02-11,Adyar,0.0,0.0,0,0,0
2014-02-12,Adyar,0.0,0.0,0,0,0
2014-02-13,Adyar,0.0,0.0,0,0,0
2014-02-14,Adyar,0.0,0.0,0,0,0
2014-02-15,Adyar,0.0,0.0,0,0,0
2014-02-16,Adyar,0.0,0.0,0,0,0
2014-02-17,Adyar,0.0,0.0,0,0,0
2014-02-18,Adyar,0.0,0.0,0,0,0
2014-02-19,Adyar,0.0,0.0,0,0,0
2014-02-20,Adyar,0.0,0.0,0,0,0
2014-02-21,Adyar,0.0,0.0,0,0,0
2014-02-22,Adyar,0.0,0.0,0,0,0
2014-02-23,Adyar,0.0,0.0,0,0,0
2014-02-24,Adyar,0.0,0.0,0,0,0
2014-02-25,Adyar,0.0,0.0,0,0,0
2014-02-26,Adyar,0.0,0.0,0,0,0
2014-02-27,Adyar,0.0,0.0,0,0,0
2014-02-28,Adyar,0.0,0.0,0,0,0
2014-03-01,Adyar,0.0,0.0,0,0,0
2014-03-02,Adyar,0.0,0.0,0,0,0
2014-03-03,Adyar,0.0,0.0,0,0,0
2014-03-04,Adyar,0.0,0.0,0,0,0
2014-03-05,Adyar,0.0,0.0,0,0,0
2014-03-06,Adyar,0.0,0.0,0,0,0
2014-03-07,Adyar,0.0,0.0,0,0,0
