date,zone,hotspot,hour,congestion_probability,current_speed_kmh,speed_pct_drop,is_accident,accident_duration_min,news_confidence,blockspot_classification,heavy_traffic_trigger,is_peak_hour,is_weekend
2014-01-01,Adyar,GST Road,20,0.549,19.6,0.439,0,0,0.1,INCONCLUSIVE,0,1,0
2014-01-01,Adyar,IT Corridor,11,0.199,29.4,0.16,0,0,0.26,INCONCLUSIVE,0,0,0
2014-01-01,Adyar,ECR,18,0.623,17.5,0.499,0,0,0.18,INCONCLUSIVE,0,1,0
2014-01-01,Adyar,OMR,13,0.31,26.3,0.248,0,0,0.17,INCONCLUSIVE,0,0,0
2014-01-01,Velachery,GST Road,14,0.338,25.5,0.271,0,0,0.08,INCONCLUSIVE,0,0,0
2014-01-01,Velachery,IT Corridor,14,0.276,27.3,0.221,0,0,0.1,INCONCLUSIVE,0,0,0
2014-01-01,Velachery,ECR,22,0.337,25.6,0.27,0,0,0.05,INCONCLUSIVE,0,0,0
2014-01-01,Velachery,OMR,6,0.358,25.0,0.286,0,0,0.29,INCONCLUSIVE,0,0,0
2014-01-01,Tambaram,GST Road,14,0.472,21.8,0.378,0,0,0.1,INCONCLUSIVE,0,0,0
2014-01-01,Tambaram,IT Corridor,13,0.237,28.4,0.189,0,0,0.07,INCONCLUSIVE,0,0,0
2014-01-01,Tambaram,ECR,21,0.176,30.1,0.141,0,0,0.11,INCONCLUSIVE,0,0,0
2014-01-01,Tambaram,OMR,15,0.111,31.9,0.089,0,0,0.08,INCONCLUSIVE,0,0,0
2014-01-01,Anna Nagar,GST Road,16,0.354,25.1,0.284,0,0,0.16,INCONCLUSIVE,0,0,0
2014-01-01,Anna Nagar,IT Corridor,15,0.196,29.5,0.157,0,0,0.21,INCONCLUSIVE,0,0,0
2014-01-01,Anna Nagar,ECR,8,0.492,21.2,0.394,0,0,0.26,INCONCLUSIVE,0,1,0
2014-01-01,Anna Nagar,OMR,11,0.293,26.8,0.234,0,0,0.23,INCONCLUSIVE,0,0,0
2014-01-01,T Nagar,GST Road,18,0.382,24.3,0.305,0,0,0.24,INCONCLUSIVE,0,1,0
2014-01-01,T Nagar,IT Corridor,15,0.303,26.5,0.243,0,0,0.13,INCONCLUSIVE,0,0,0
2014-01-01,T Nagar,ECR,9,0.542,19.8,0.433,0,0,0.21,INCONCLUSIVE,0,1,0
2014-01-01,T Nagar,OMR,10,0.481,21.5,0.385,0,0,0.26,INCONCLUSIVE,0,1,0
2014-01-01,Porur,GST Road,7,0.359,24.9,0.287,0,0,0.14,INCONCLUSIVE,0,0,0
2014-01-01,Porur,IT Corridor,15,0.383,24.3,0.306,0,0,0.15,INCONCLUSIVE,0,0,0
2014-01-01,Porur,ECR,20,0.553,19.5,0.443,0,0,0.23,INCONCLUSIVE,0,1,0
2014-01-01,Porur,OMR,8,0.594,18.4,0.475,0,0,0.19,INCONCLUSIVE,0,1,0
2014-01-01,Perambur,GST Road,8,0.608,18.0,0.486,0,0,0.14,INCONCLUSIVE,0,1,0
2014-01-01,Perambur,IT Corridor,8,0.565,19.2,0.452,0,0,0.15,INCONCLUSIVE,0,1,0
2014-01-01,Perambur,ECR,17,0.798,12.7,0.638,0,0,0.15,INCONCLUSIVE,0,1,0
