worker_id,zone,lat,lon,onboard_date,avg_daily_income,disruption_freq_12mo,zone_flood_risk,claims_history_penalty,iss_score,recommended_tier,weekly_premium,bandh_freq_zone,platform_outage_per_mo,coastal_zone,curfew_addon,app_downtime_addon,cyclone_addon,city
CHE_00001,Adyar,12.990211,80.247171,2021-07-01,609.7,18,0.174,6,42,Standard Shield,49,8,3,0,1,1,0,Chennai
CHE_00002,T Nagar,13.036387,80.233158,2017-08-01,471.6,28,0.102,2,44,Standard Shield,53,4,0,0,1,0,0,Chennai
CHE_00003,Sholinganallur,12.90372,80.224113,2022-03-01,400.5,18,0.478,4,28,Full Shield,85,4,2,0,1,0,0,Chennai
CHE_00004,Perambur,13.112617,80.240799,2019-05-01,669.6,17,0.249,4,44,Standard Shield,49,10,3,0,1,1,0,Chennai
CHE_00005,Perambur,13.116116,80.241079,2015-08-01,688.1,18,0.091,6,41,Standard Shield,49,3,3,0,0,1,0,Chennai
CHE_00006,Tambaram,12.929314,80.109147,2022-12-01,761.2,24,0.173,2,59,Standard Shield,53,4,2,0,0,0,0,Chennai
CHE_00007,Adyar,12.997712,80.266951,2018-05-01,406.5,12,0.393,7,27,Full Shield,79,10,0,0,1,0,0,Chennai
CHE_00008,Sholinganallur,12.903261,80.221792,2023-02-01,562.4,29,0.334,2,27,Full Shield,83,6,2,1,1,0,1,Chennai
CHE_00009,Chromepet,12.967527,80.148563,2021-03-01,861.0,6,0.519,4,51,Standard Shield,55,7,1,0,1,0,0,Chennai
CHE_00010,Adyar,12.999481,80.247111,2021-07-01,704.7,8,0.368,1,53,Standard Shield,49,5,3,0,0,0,0,Chennai
CHE_00011,Porur,13.047093,80.162411,2018-05-01,424.5,15,0.218,5,27,Full Shield,79,8,2,0,1,0,0,Chennai
CHE_00012,Velachery,12.981494,80.246713,2017-04-01,639.8,23,0.248,4,46,Standard Shield,53,4,2,0,1,0,0,Chennai
CHE_00013,T Nagar,13.027128,80.234972,2020-10-01,680.8,13,0.308,1,55,Standard Shield,49,8,0,0,1,0,0,Chennai
CHE_00014,T Nagar,13.030779,80.229102,2021-02-01,462.2,12,0.416,1,32,Full Shield,79,5,2,1,1,0,1,Chennai
CHE_00015,T Nagar,13.033464,80.231378,2022-03-01,619.3,19,0.094,3,39,Standard Shield,53,7,4,0,1,1,0,Chennai
CHE_00016,T Nagar,13.033252,80.21901,2018-11-01,653.6,17,0.096,2,44,Standard Shield,49,5,3,1,0,0,1,Chennai
CHE_00017,Porur,13.034397,80.17319,2022-02-01,853.6,21,0.368,4,43,Standard Shield,53,3,2,0,0,0,0,Chennai
CHE_00018,Anna Nagar,13.091146,80.213229,2015-08-01,499.3,25,0.46,3,35,Full Shield,89,8,0,0,1,0,0,Chennai
CHE_00019,Tambaram,12.937452,80.117011,2017-05-01,807.9,15,0.705,3,39,Standard Shield,55,2,5,1,0,1,0,Chennai
CHE_00020,Perambur,13.121982,80.222437,2017-04-01,786.3,21,0.515,1,42,Standard Shield,59,6,3,0,1,0,0,Chennai
CHE_00021,Porur,13.030843,80.158853,2019-06-01,646.3,10,0.434,4,39,Standard Shield,49,7,1,0,1,0,0,Chennai
CHE_00022,Guindy,12.989778,80.22982,2020-06-01,786.1,15,0.168,3,58,Standard Shield,49,6,0,0,1,0,0,Chennai
CHE_00023,Anna Nagar,13.085706,80.19859,2020-05-01,473.0,21,0.431,4,19,Full Shield,83,5,7,1,1,1,1,Chennai
CHE_00024,Velachery,12.976158,80.232334,2021-09-01,625.4,17,0.276,6,38,Standard Shield,49,4,0,1,1,0,1,Chennai
CHE_00025,T Nagar,13.043629,80.232784,2016-07-01,311.3,11,0.453,2,23,Full Shield,85,8,1,1,1,0,1,Chennai
CHE_00026,Sholinganallur,12.922062,80.218598,2024-03-01,420.0,14,0.282,2,21,Full Shield,79,11,1,0,1,0,0,Chennai
CHE_00027,Perambur,13.131306,80.227923,2021-11-01,551.1,14,0.2,6,35,Full Shield,79,6,1,1,1,0,1,Chennai
CHE_00028,Tambaram,12.932751,80.144986,2020-12-01,614.9,24,0.166,3,42,Standard Shield,53,5,2,0,1,0,0,Chennai
CHE_00029,Porur,13.025679,80.144818,2016-05-01,828.3,15,0.154,3,55,Standard Shield,49,4,2,1,0,0,1,Chennai
